;species;subsp;lat;lon;collectionCode;year;basis
213;Crax fasciolata;NA;-19.4707;-56.9101;EBIRD_BRA;2019;GBIF
214;Crax fasciolata;NA;-25.2972;-58.7221;EBIRD;2019;GBIF
215;Crax fasciolata;NA;-19.401;-57.0402;EBIRD;2018;GBIF
216;Crax fasciolata;NA;-17.3217;-56.6934;EBIRD;2019;GBIF
217;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2019;GBIF
218;Crax fasciolata;NA;-5.96423;-50.3652;EBIRD;2019;GBIF
219;Crax fasciolata;NA;-21.204;-56.4585;EBIRD_BRA;2009;GBIF
220;Crax fasciolata;NA;-19.5053;-46.5573;EBIRD;2019;GBIF
221;Crax fasciolata;NA;-16.7333;-56.8379;EBIRD;2014;GBIF
222;Crax fasciolata;NA;-9.30942;-49.962;EBIRD_ARG;2019;GBIF
223;Crax fasciolata;NA;-16.6196;-56.7347;EBIRD;2017;GBIF
224;Crax fasciolata;NA;-20.3241;-46.509;EBIRD;2019;GBIF
225;Crax fasciolata;NA;-9.61079;-55.9372;EBIRD;2009;GBIF
226;Crax fasciolata;NA;-17.265;-56.8983;EBIRD;2019;GBIF
227;Crax fasciolata;NA;-9.59726;-55.9311;EBIRD;2019;GBIF
228;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2019;GBIF
229;Crax fasciolata;NA;-19.5751;-56.246;EBIRD;2003;GBIF
230;Crax fasciolata;NA;-3.2391;-46.7198;EBIRD;2019;GBIF
231;Crax fasciolata;NA;-16.3833;-56.5914;EBIRD;2019;GBIF
232;Crax fasciolata;NA;-16.6196;-56.7347;EBIRD;2019;GBIF
233;Crax fasciolata;NA;-16.6207;-56.7353;EBIRD;2019;GBIF
234;Crax fasciolata;NA;-19.0091;-57.6936;EBIRD;2003;GBIF
235;Crax fasciolata;NA;-9.61459;-55.9322;EBIRD;2019;GBIF
236;Crax fasciolata;NA;-17.3249;-56.7302;EBIRD;2019;GBIF
237;Crax fasciolata;NA;-16.6207;-56.7353;EBIRD;2019;GBIF
238;Crax fasciolata;NA;-20.2214;-56.3906;EBIRD;2016;GBIF
239;Crax fasciolata;NA;-6.07041;-50.0667;EBIRD;2019;GBIF
240;Crax fasciolata;NA;-16.748;-56.8571;EBIRD;2019;GBIF
241;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2016;GBIF
242;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2009;GBIF
243;Crax fasciolata;NA;-14.8671;-55.5426;EBIRD;2012;GBIF
244;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2019;GBIF
245;Crax fasciolata;NA;-9.59755;-55.9314;EBIRD;2019;GBIF
246;Crax fasciolata;NA;-19.9526;-56.3044;EBIRD;2019;GBIF
247;Crax fasciolata;NA;-16.6196;-56.7347;EBIRD;2019;GBIF
248;Crax fasciolata;NA;-20.7417;-56.0544;EBIRD_BRA;2008;GBIF
249;Crax fasciolata;NA;-16.5705;-56.7271;EBIRD;2019;GBIF
250;Crax fasciolata;NA;-16.3833;-56.5914;EBIRD;2019;GBIF
251;Crax fasciolata;NA;-16.6207;-56.7353;EBIRD;2018;GBIF
252;Crax fasciolata;NA;-17.2992;-56.8381;EBIRD;2013;GBIF
253;Crax fasciolata;NA;-16.8751;-57.5084;EBIRD;2016;GBIF
254;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2019;GBIF
255;Crax fasciolata;NA;-21.1715;-56.4459;EBIRD;2019;GBIF
256;Crax fasciolata;NA;-9.05418;-56.5863;EBIRD;2019;GBIF
257;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD;2019;GBIF
258;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2018;GBIF
259;Crax fasciolata;NA;-16.7481;-56.8568;EBIRD;2019;GBIF
260;Crax fasciolata;NA;-17.1027;-56.943;EBIRD;2019;GBIF
261;Crax fasciolata;NA;-19.4707;-56.9101;EBIRD_BRA;2019;GBIF
262;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2012;GBIF
263;Crax fasciolata;NA;-17.3225;-56.7355;EBIRD;2019;GBIF
264;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD;2019;GBIF
265;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2017;GBIF
266;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2017;GBIF
267;Crax fasciolata;NA;-16.4569;-56.6913;EBIRD;2019;GBIF
268;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2019;GBIF
269;Crax fasciolata;NA;-19.4707;-56.9101;EBIRD_BRA;2019;GBIF
270;Crax fasciolata;NA;-16.748;-56.8571;EBIRD;2019;GBIF
271;Crax fasciolata;NA;-21.4194;-56.3935;EBIRD_BRA;2019;GBIF
272;Crax fasciolata;NA;-19.5762;-57.019;EBIRD;2011;GBIF
273;Crax fasciolata;NA;-25.9832;-58.1649;EBIRD_ARG;2004;GBIF
274;Crax fasciolata;NA;-9.59726;-55.9311;EBIRD;2019;GBIF
275;Crax fasciolata;NA;-16.5041;-56.6763;EBIRD;2019;GBIF
276;Crax fasciolata;NA;-17.3217;-56.6934;EBIRD;2019;GBIF
277;Crax fasciolata;NA;-17.3149;-56.7183;EBIRD;2018;GBIF
278;Crax fasciolata;NA;-17.3899;-56.6045;EBIRD;2019;GBIF
279;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2019;GBIF
280;Crax fasciolata;NA;-6.06083;-50.5672;EBIRD;2008;GBIF
281;Crax fasciolata;NA;-19.4707;-56.9101;EBIRD_BRA;2019;GBIF
282;Crax fasciolata;NA;-16.5044;-56.6752;EBIRD;2019;GBIF
283;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2019;GBIF
284;Crax fasciolata;NA;-20.9822;-56.5163;EBIRD_BRA;2013;GBIF
285;Crax fasciolata;NA;-16.5044;-56.6752;EBIRD;2019;GBIF
286;Crax fasciolata;NA;-16.7481;-56.8575;EBIRD;2009;GBIF
287;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2019;GBIF
288;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD_PE;2019;GBIF
289;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2012;GBIF
290;Crax fasciolata;NA;-5.96501;-50.3647;EBIRD;2011;GBIF
291;Crax fasciolata;NA;-17.2992;-56.8381;EBIRD;2017;GBIF
292;Crax fasciolata;NA;-9.24665;-55.988;EBIRD;2015;GBIF
293;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2019;GBIF
294;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD;2019;GBIF
295;Crax fasciolata;NA;-16.5122;-56.7118;EBIRD;2019;GBIF
296;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD_PE;2019;GBIF
297;Crax fasciolata;NA;-16.4989;-56.413;EBIRD;2019;GBIF
298;Crax fasciolata;NA;-19.4707;-56.9101;EBIRD_BRA;2019;GBIF
299;Crax fasciolata;NA;-16.5044;-56.6752;EBIRD;2019;GBIF
300;Crax fasciolata;NA;-17.3149;-56.7183;EBIRD;2019;GBIF
301;Crax fasciolata;NA;-19.4707;-56.9101;EBIRD_BRA;2019;GBIF
302;Crax fasciolata;NA;-9.59726;-55.9311;EBIRD_QC;2014;GBIF
303;Crax fasciolata;NA;-16.5044;-56.6752;EBIRD;2019;GBIF
304;Crax fasciolata;NA;-19.932;-47.4662;EBIRD;2019;GBIF
